BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
106.6721	-7.2098	8	JAWA	JAWA BARAT	SUKABUMI	JAMPANG KULON	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.6680	-7.2078	8	JAWA	JAWA BARAT	SUKABUMI	JAMPANG KULON	SNPP	2023-08-24	12:45:57	1125	Pixel		
106.7454	-7.0548	8	JAWA	JAWA BARAT	SUKABUMI	JAMPANG TENGAH	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.5026	-7.1131	8	JAWA	JAWA BARAT	SUKABUMI	CIEMAS	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.5003	-7.1146	8	JAWA	JAWA BARAT	SUKABUMI	CIEMAS	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.5053	-7.1138	8	JAWA	JAWA BARAT	SUKABUMI	CIEMAS	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.5504	-7.1662	8	JAWA	JAWA BARAT	SUKABUMI	CIEMAS	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.5014	-7.1142	8	JAWA	JAWA BARAT	SUKABUMI	CIEMAS	SNPP	2023-08-24	12:45:57	1125	Pixel		
106.4291	-7.1990	8	JAWA	JAWA BARAT	SUKABUMI	CILACAP	NOAA20	2023-08-24	00:58:57	1125	Pixel		
106.4432	-7.3042	8	JAWA	JAWA BARAT	SUKABUMI	CILACAP	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.6730	-7.2137	8	JAWA	JAWA BARAT	SUKABUMI	CIMANGGU	NOAA20	2023-08-24	13:38:34	1125	Pixel		
106.6809	-7.2633	8	JAWA	JAWA BARAT	SUKABUMI	CIMANGGU	SNPP	2023-08-24	12:45:57	1125	Pixel		
106.6375	-7.0704	8	JAWA	JAWA BARAT	SUKABUMI	LENGKONG	SNPP	2023-08-24	12:45:57	1125	Pixel		
106.6361	-7.0655	8	JAWA	JAWA BARAT	SUKABUMI	LENGKONG	SNPP	2023-08-24	12:45:57	1125	Pixel		
106.6191	-7.0478	8	JAWA	JAWA BARAT	SUKABUMI	LENGKONG	SNPP	2023-08-24	12:45:57	1125	Pixel		
107.9181	-6.9143	8	JAWA	JAWA BARAT	SUMEDANG	SUMEDANG SELATAN	NOAA20	2023-08-24	13:38:34	1125	Pixel		
107.9159	-6.9125	8	JAWA	JAWA BARAT	SUMEDANG	SUMEDANG SELATAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
108.0889	-6.9453	8	JAWA	JAWA BARAT	SUMEDANG	WADO	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.4669	-6.8850	8	JAWA	JAWA TENGAH	BLORA	BLORA	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.3473	-7.2789	8	JAWA	JAWA TENGAH	BLORA	JATI	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.2912	-7.2796	8	JAWA	JAWA TENGAH	BLORA	JATI	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.2736	-7.2784	7	JAWA	JAWA TENGAH	BLORA	JATI	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.4624	-7.1245	8	JAWA	JAWA TENGAH	BLORA	KEDUNGTUBAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.3743	-7.3049	8	JAWA	JAWA TENGAH	BLORA	KRADENAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.4163	-7.2974	8	JAWA	JAWA TENGAH	BLORA	KRADENAN	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.4330	-7.3482	7	JAWA	JAWA TENGAH	BLORA	KRADENAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.4289	-7.3488	8	JAWA	JAWA TENGAH	BLORA	KRADENAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.4110	-7.3143	8	JAWA	JAWA TENGAH	BLORA	KRADENAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.4122	-7.3139	8	JAWA	JAWA TENGAH	BLORA	KRADENAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.2323	-7.0052	7	JAWA	JAWA TENGAH	BLORA	KUNDURAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.2441	-6.9663	7	JAWA	JAWA TENGAH	BLORA	NGAWEN	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.2338	-6.9231	7	JAWA	JAWA TENGAH	BLORA	TODANAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.8084	-7.2272	8	JAWA	JAWA TENGAH	BOYOLALI	KEMUSU	NOAA20	2023-08-24	13:38:34	1125	Pixel		
108.9239	-7.1552	8	JAWA	JAWA TENGAH	BREBES	BANTARKAWUNG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
108.7736	-6.9379	8	JAWA	JAWA TENGAH	BREBES	LOSARI	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.1812	-7.2431	8	JAWA	JAWA TENGAH	GROBOGAN	GABUS	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.1823	-7.2433	7	JAWA	JAWA TENGAH	GROBOGAN	GABUS	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.7523	-7.1531	8	JAWA	JAWA TENGAH	GROBOGAN	KARANGRAYUNG	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.6333	-7.1973	8	JAWA	JAWA TENGAH	GROBOGAN	KEDUNGJATI	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.9983	-7.0283	7	JAWA	JAWA TENGAH	GROBOGAN	TAWANGHARJO	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.7418	-6.5039	8	JAWA	JAWA TENGAH	JEPARA	BANGSRI	SNPP	2023-08-24	00:07:45	1125	Pixel		
110.7456	-6.7392	7	JAWA	JAWA TENGAH	JEPARA	MAYONG	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.1488	-7.0274	8	JAWA	JAWA TENGAH	KENDAL	NGAMPEL	NOAA20	2023-08-24	13:38:34	1125	Pixel		
110.1532	-7.0162	8	JAWA	JAWA TENGAH	KENDAL	NGAMPEL	NOAA20	2023-08-24	13:38:34	1125	Pixel		
110.6922	-7.6486	8	JAWA	JAWA TENGAH	KLATEN	DELANGGU	AQUA	2023-08-24	13:18:00	3000	Pixel		
110.6966	-7.6512	8	JAWA	JAWA TENGAH	KLATEN	DELANGGU	NOAA20	2023-08-24	13:38:34	1125	Pixel		
110.6998	-7.6507	9	JAWA	JAWA TENGAH	KLATEN	DELANGGU	NOAA20	2023-08-24	13:38:34	1125	Pixel		
110.6987	-7.6491	8	JAWA	JAWA TENGAH	KLATEN	DELANGGU	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.9369	-6.7615	8	JAWA	JAWA TENGAH	KUDUS	JEKULO	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.4227	-7.5390	8	JAWA	JAWA TENGAH	MAGELANG	DUKUN	SNPP	2023-08-24	00:07:45	1125	Pixel		
110.4411	-7.5441	8	JAWA	JAWA TENGAH	MAGELANG	SRUMBUNG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
110.9814	-6.9094	8	JAWA	JAWA TENGAH	PATI	KAYEN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
110.9834	-6.9108	8	JAWA	JAWA TENGAH	PATI	KAYEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
